Название,Цена,Автор,Серия,Раздел,Издательство,ISBN,Возрастное ограничение,Год издания,Количество страниц,Переплет,Бумага,Формат,Вес
Мартис Майкл: Хроники Фильнии. Пробуждение тьмы,2 039 ₽,Майкл Мартис,Хроники Фильнии,Русское фэнтези,RUGRAM,978-5-517-08249-7,16+,2022,432,Твёрдый переплёт,Нет данных,153x215  мм,0.63  кг
Косухина Наталья Викторовна: Корпорация Лемнискату. И каждый день за веком век,1 529 ₽,Наталья Косухина,Нет данных,Русское фэнтези,RUGRAM,978-5-517-08003-5,16+,2022,290,Твёрдый переплёт,Нет данных,153x217  мм,0.46  кг
Астахов Евгений: Падение Дома Теккен'ар,1 614 ₽,Евгений Астахов,Виашерон,Русское фэнтези,RUGRAM,978-5-517-07066-1,16+,2022,416,Твёрдый переплёт,Нет данных,153x217  мм,0.64  кг
Мики Анжелика: Пять правил выживания ведьмы,1 359 ₽,Анжелика Мики,Нет данных,Русское фэнтези,RUGRAM,978-5-517-06667-1,18+,2022,232,Твёрдый переплёт,Нет данных,153x217  мм,0.39  кг
Волкова Лана: Игрушка Верховного Мага,2 294 ₽,Лана Волкова,Нет данных,Русское фэнтези,RUGRAM,978-5-517-06543-8,18+,2022,544,Твёрдый переплёт,Нет данных,153x217  мм,0.77  кг
Потерянные в Нигде,619 ₽,Нет данных,Нет данных,Русское фэнтези,Издательские решения,978-5-0053-0653-1,18+,2022,194,Мягкий переплёт,Нет данных,145x204  мм,0.24  кг
Пушной Валерий Александрович: Пораженные безликостью,1 309 ₽,Валерий Пушной,Нет данных,Русское фэнтези,Скифия,978-5-00025-264-2,12+,2022,388,Твёрдый переплёт,Нет данных,145x208  мм,0.53  кг
"Волынская Илона, Кащеев Кирилл: Потомокъ. Книга 1. Фабрика мертвецов",620 ₽,"Илона Волынская, Кирилл Кащеев",Потомокъ,Русское фэнтези,РОСМЭН,978-5-353-10087-4,16+,2022,400,Твёрдый переплёт,Нет данных,145x220  мм,0.42  кг
Левкович Ирина: Рыцарь в башне,1 072 ₽,Ирина Левкович,Нет данных,Русское фэнтези,RUGRAM,978-5-517-07233-7,18+,2022,244,Твёрдый переплёт,Нет данных,152x215  мм,0.40  кг
Тараторина Даха: Кривая дорога,2 309 ₽,Даха Тараторина,Бабкины сказки,Русское фэнтези,RUGRAM,978-5-517-08297-8,16+,2022,430,Твёрдый переплёт,Нет данных,153x217  мм,0.63  кг
Ветер Морвейн: Наследница Аркаима,1 779 ₽,Морвейн Ветер,Волки в городе,Русское фэнтези,RUGRAM,978-5-517-06567-4,16+,2022,280,Твёрдый переплёт,Нет данных,153x217  мм,0.45  кг
Ветер Морвейн: Наследница темного пламени,1 569 ₽,Морвейн Ветер,Волки в городе,Русское фэнтези,RUGRAM,978-5-517-06568-1,16+,2022,218,Твёрдый переплёт,Нет данных,153x217  мм,0.38  кг
Верт Александр: Зверь. Кн. 1,1 779 ₽,Верт Александр,Дети Эштара,Русское фэнтези,RUGRAM,978-5-517-07758-5,18+,2022,356,Твёрдый переплёт,Нет данных,153x217  мм,0.54  кг
Герр Ольга: Запретное. Любовь без границ. Кн.2,1 669 ₽,Ольга Герр,Запретное,Русское фэнтези,RUGRAM,978-5-517-04056-5,16+,2021,272,Твёрдый переплёт,Нет данных,153x217  мм,0.44  кг
Герр Ольга: Запретное. Любовь за гранью. Кн.1,1 459 ₽,Ольга Герр,Запретное,Русское фэнтези,RUGRAM,978-5-517-04054-1,16+,2021,222,Твёрдый переплёт,Нет данных,153x217  мм,0.38  кг
Каримова Лука: Некроманцер,1 779 ₽,Лука Каримова,Книги Луки Каримовой,Русское фэнтези,RUGRAM,978-5-517-07775-2,16+,2022,284,Твёрдый переплёт,Нет данных,153x217  мм,0.46  кг
"Корнев Владимир Григорьевич: Под небом Северной Пальмиры: Чем прекраснее здание, тем красивее рутины: роман",2 729 ₽,Владимир Корнев,Лабиринты Владимира Корнева,Русское фэнтези,Нет данных,978-5-517-07272-6,16+,2022,590,Твёрдый переплёт,Нет данных,153x217  мм,0.72  кг
Гурова Анна Евгеньевна: Громовая жемчужина,2 409 ₽,Анна Гурова,Миры Анны Гуровой,Русское фэнтези,RUGRAM,978-5-517-01457-3,16+,2021,484,Твёрдый переплёт,Нет данных,153x217  мм,0.70  кг
Лазарева Ярослава: Новогодний башмачок,1 459 ₽,Ярослава Лазарева,Миры Ярославы Лазаревой,Русское фэнтези,RUGRAM,978-5-517-05519-4,16+,2021,232,Твёрдый переплёт,Нет данных,153x217  мм,0.39  кг
Истомина Ольга Юрьевна: Нелегкая жизнь богини,3 459 ₽,Ольга Истомина,Нелегкая жизнь,Русское фэнтези,RUGRAM,978-5-517-06190-4,16+,2021,664,Твёрдый переплёт,Нет данных,152x217  мм,0.92  кг
Истомина Ольга Юрьевна: Нелегкая жизнь некромантки,2 929 ₽,Ольга Истомина,Нелегкая жизнь,Русское фэнтези,RUGRAM,978-5-517-05935-2,16+,2021,528,Твёрдый переплёт,Нет данных,153x217  мм,0.75  кг
Белая Яся: Сны Персефоны,1 669 ₽,Яся Белая,Новые мифы,Русское фэнтези,RUGRAM,978-5-517-06400-4,18+,2022,270,Твёрдый переплёт,Нет данных,153x217  мм,0.44  кг
Сизов Михаил Витальевич: Сущник: роман,2 619 ₽,Михаил Сизов,Пальмира - роман,Русское фэнтези,Нет данных,978-5-517-07334-1,12+,2022,561,Твёрдый переплёт,Нет данных,152x217  мм,0.68  кг
Такаббир: Трон Знания. Кн. 4,2 729 ₽,Такаббир,Трон Знания,Русское фэнтези,RUGRAM,978-5-517-08184-1,16+,2022,588,Твёрдый переплёт,Нет данных,153x217  мм,0.85  кг
Арнаутова Дана: Стальной подснежник,2 729 ₽,Дана Арнаутова,Эдор. Хроники яркого века,Русское фэнтези,Нет данных,978-5-517-08344-9,16+,2022,580,Твёрдый переплёт,Нет данных,155x220  мм,0.69  кг
Истомина Ольга Юрьевна: В объятиях ледяного демона,2 829 ₽,Ольга Истомина,Нет данных,Русское фэнтези,RUGRAM,978-5-517-06692-3,16+,2022,502,Твёрдый переплёт,Нет данных,153x217  мм,0.71  кг
Истомина Ольга Юрьевна: В погоне за принцем,2 519 ₽,Ольга Истомина,Нет данных,Русское фэнтези,RUGRAM,978-5-517-06450-9,16+,2022,494,Твёрдый переплёт,Нет данных,153x217  мм,0.70  кг
Кудлач Ярослав: Звездный подмастерье,1 989 ₽,Ярослав Кудлач,Нет данных,Русское фэнтези,RUGRAM,978-5-517-06451-6,16+,2022,320,Твёрдый переплёт,Нет данных,153x217  мм,0.50  кг
Истомина Ольга Юрьевна: Змея и Сновидец,3 149 ₽,Ольга Истомина,Нет данных,Русское фэнтези,RUGRAM,978-5-517-07759-2,16+,2022,596,Твёрдый переплёт,Нет данных,153x217  мм,0.73  кг
Селина Катрин: Король Лжи II,1 779 ₽,Катрин Селина,Нет данных,Русское фэнтези,RUGRAM,978-5-517-07830-8,18+,2022,286,Твёрдый переплёт,Нет данных,153x217  мм,0.46  кг
Головина Оксана Сергеевна: Обещанная дочь,2 409 ₽,Оксана Головина,Нет данных,Русское фэнтези,RUGRAM,978-5-517-03806-7,16+,2022,442,Твёрдый переплёт,Нет данных,153x217  мм,0.67  кг
Истомина Ольга Юрьевна: Пешка в чужой игре. Ход королевы,2 829 ₽,Ольга Истомина,Нет данных,Русское фэнтези,RUGRAM,978-5-517-05908-6,16+,2021,512,Твёрдый переплёт,Нет данных,152x217  мм,0.73  кг
"Косухина Наталья Викторовна: ПТУ для гоблинов, или Понтийский тактический университет",1 879 ₽,Наталья Косухина,Нет данных,Русское фэнтези,Нет данных,978-5-517-08232-9,16+,2022,290,Твёрдый переплёт,Нет данных,155x220  мм,0.46  кг
Истомина Ольга Юрьевна: Свобода или Любовь,2 619 ₽,Ольга Истомина,Нет данных,Русское фэнтези,RUGRAM,978-5-517-05284-1,16+,2021,490,Твёрдый переплёт,Нет данных,152x215  мм,0.70  кг
Истомина Ольга Юрьевна: Сыграй для меня,2 829 ₽,Ольга Истомина,Нет данных,Русское фэнтези,RUGRAM,978-5-517-05490-6,16+,2021,502,Твёрдый переплёт,Нет данных,153x217  мм,0.72  кг
Танари Таша: Некроманты любят сыр …и ненавидят нежности,2 209 ₽,Таша Танари,Нет данных,Русское фэнтези,Нет данных,978-5-517-08289-3,16+,2022,378,Твёрдый переплёт,Нет данных,155x220  мм,0.57  кг
Индиви Марина: Драконова академия,1 444 ₽,Марина Индиви,Нет данных,Русское фэнтези,RUGRAM,978-5-517-08343-2,16+,2022,374,Твёрдый переплёт,Нет данных,153x217  мм,0.49  кг
Ясинская Марина: Колизион. Книга 1. Арена заблудших,620 ₽,Марина Ясинская,Колизион,Русское фэнтези,РОСМЭН,978-5-353-09925-3,16+,2022,336,Твёрдый переплёт,Нет данных,142x222  мм,0.43  кг
Сологуб Светлана: Пурпурная роза. Фэнтези: Книга для чтения с заданиями,969 ₽,Светлана Сологуб,Нет данных,Русское фэнтези,Русский язык. Курсы,978-5-907390-26-3,16+,2022,80,Мягкий переплёт,Нет данных,140x205  мм,0.09  кг
